Name,State,Type,Full_Location,Latitude,Longitude,Coal Consumption ,Coal type,Supply,Demand,Distance from plant,Length (km)
"Seioni TPP,600 MW",Maharashtra,Power,"Seioni TPP,600 MW, Maharashtra, India",19.5,76,226.98,Domestic ,,54.47,,
"Shirpur TPP,300 MW",Maharashtra,Power,"Shirpur TPP,300 MW, Maharashtra, India",19.5,76,44.49,Domestic ,,10.68,,
"Shree Singaji TPP,2520 MW",Madhya Pradesh,Power,"Shree Singaji TPP,2520 MW, Madhya Pradesh, India",23.5,78.5,882.46,Domestic ,,211.79,,
"Sikka Rep. TPS,500 MW",Gujarat,Power,"Sikka Rep. TPS,500 MW, Gujarat, India",23,71.75,82.02,Import,,3.94,,
"Sipat STPS,2980 MW",Chhattisgarh,Power,"Sipat STPS,2980 MW, Chhattisgarh, India",21.5,82,1169.62,Domestic ,,280.71,,
"Solapur STPS,1320 MW",Maharashtra,Power,"Solapur STPS,1320 MW, Maharashtra, India",19.5,76,431.13,Domestic ,,103.47,,
"SVPL TPP,63 MW",Maharashtra,Power,"SVPL TPP,63 MW, Maharashtra, India",19.5,76,53.09,Domestic ,,12.74,,
"Swastik Korba TPP,25 MW",Chhattisgarh,Power,"Swastik Korba TPP,25 MW, Chhattisgarh, India",21.5,82,0,Domestic ,,0,,
"Tamnar TPP,2400 MW",Chhattisgarh,Power,"Tamnar TPP,2400 MW, Chhattisgarh, India",21.5,82,1202.94,Domestic ,,288.71,,
"Trombay TPS,750 MW",Maharashtra,Power,"Trombay TPS,750 MW, Maharashtra, India",19.5,76,144.56,Import,,6.94,,
"Uchpinda TPP,1440 MW",Chhattisgarh,Power,"Uchpinda TPP,1440 MW, Chhattisgarh, India",21.5,82,442.66,Domestic ,,106.24,,
"Ukai TPS,1110 MW",Gujarat,Power,"Ukai TPS,1110 MW, Gujarat, India",23,71.75,297.27,Domestic ,,71.34,,
"Vindhyachal STPS,4760 MW",Madhya Pradesh,Power,"Vindhyachal STPS,4760 MW, Madhya Pradesh, India",23.5,78.5,1893.77,Domestic ,,454.51,,
"Wanakbori TPS,2270 MW",Gujarat,Power,"Wanakbori TPS,2270 MW, Gujarat, India",23,71.75,478.32,Domestic ,,114.8,,
"Wardha Warora TPP,540 MW",Maharashtra,Power,"Wardha Warora TPP,540 MW, Maharashtra, India",19.5,76,193.43,Domestic ,,46.42,,
"Bakreswar TPS,1050 MW",West Bengal,Power,"Bakreswar TPS,1050 MW, West Bengal, India",23.830034,87.452316,431.05,Domestic ,,103.45,,
"Bandel TPS,270 MW",West Bengal,Power,"Bandel TPS,270 MW, West Bengal, India",24,88,111.02,Domestic ,,26.64,,
"Barauni TPS,710 MW",Bihar,Power,"Barauni TPS,710 MW, Bihar, India",25.75,85.75,192.77,Domestic ,,46.26,,
"Barh STPS,2640 MW",Bihar,Power,"Barh STPS,2640 MW, Bihar, India",25.75,85.75,843.4,Domestic ,,202.41,,
"Bokaro TPS `A` Exp,500 MW",Jharkhand,Power,"Bokaro TPS `A` Exp,500 MW, Jharkhand, India",23.75,85.5,141.09,Domestic ,,33.86,,
"Budge Budge TPS,750 MW",West Bengal,Power,"Budge Budge TPS,750 MW, West Bengal, India",24,88,272.7,Domestic ,,65.45,,
"Chandrapura (DVC) TPS,500 MW",Jharkhand,Power,"Chandrapura (DVC) TPS,500 MW, Jharkhand, India",23.75,85.5,193.86,Domestic ,,46.53,,
"Darlipali STPS,1600 MW",Odisha,Power,"Darlipali STPS,1600 MW, Odisha, India",20.5,84.41667,767.9,Domestic ,,184.3,,
"Derang TPP,1200 MW",Odisha,Power,"Derang TPP,1200 MW, Odisha, India",20.5,84.41667,461.17,Domestic ,,110.68,,
"Dishergarh TPP,12 MW",West Bengal,Power,"Dishergarh TPP,12 MW, West Bengal, India",24,88,0,Domestic ,,0,,
"DPL TPS,550 MW",West Bengal,Power,"DPL TPS,550 MW, West Bengal, India",24,88,251.62,Domestic ,,60.39,,
"Durgapur Steel TPS,1000 MW",West Bengal,Power,"Durgapur Steel TPS,1000 MW, West Bengal, India",24,88,305.91,Domestic ,,73.42,,
"Farakka STPS,2100 MW",West Bengal,Power,"Farakka STPS,2100 MW, West Bengal, India",24,88,834.18,Domestic ,,200.2,,
"Haldia TPP,600 MW",West Bengal,Power,"Haldia TPP,600 MW, West Bengal, India",24,88,251.56,Domestic ,,60.37,,
"Hiranmaye TPP,300 MW",West Bengal,Power,"Hiranmaye TPP,300 MW, West Bengal, India",24,88,129.03,Domestic ,,30.97,,
"IB Valley TPS,1740 MW",Odisha,Power,"IB Valley TPS,1740 MW, Odisha, India",20.5,84.41667,666.89,Domestic ,,160.05,,
"Jojobera TPS,240 MW",Jharkhand,Power,"Jojobera TPS,240 MW, Jharkhand, India",23.75,85.5,77.59,Domestic ,,18.62,,
"JSW Energy Utkal Limited,350 MW",Odisha,Power,"JSW Energy Utkal Limited,350 MW, Odisha, India",20.5,84.41667,109,Domestic ,,26.16,,
"Kahalgaon TPS,2340 MW",Bihar,Power,"Kahalgaon TPS,2340 MW, Bihar, India",25.75,85.75,1084.75,Domestic ,,260.34,,
"Kamalanga TPS,1050 MW",Odisha,Power,"Kamalanga TPS,1050 MW, Odisha, India",20.5,84.41667,504.52,Domestic ,,121.08,,
"Koderma TPP,1000 MW",Jharkhand,Power,"Koderma TPP,1000 MW, Jharkhand, India",23.75,85.5,396.48,Domestic ,,95.16,,
"Kolaghat TPS,840 MW",West Bengal,Power,"Kolaghat TPS,840 MW, West Bengal, India",24,88,290.78,Domestic ,,69.79,,
"Maadurga Thermal Power Company Ltd.,60 MW",Jharkhand,Power,"Maadurga Thermal Power Company Ltd.,60 MW, Jharkhand, India",23.75,85.5,30,Domestic ,,7.2,,
"Mahadev Prasad STPP,540 MW",Jharkhand,Power,"Mahadev Prasad STPP,540 MW, Jharkhand, India",23.75,85.5,233.2,Domestic ,,55.97,,
"Maithon RB TPP,1050 MW",Jharkhand,Power,"Maithon RB TPP,1050 MW, Jharkhand, India",23.75,85.5,359.15,Domestic ,,86.2,,
"Mejia TPS,2340 MW",West Bengal,Power,"Mejia TPS,2340 MW, West Bengal, India",24,88,766.16,Domestic ,,183.88,,
"Muzaffarpur TPS,390 MW",Bihar,Power,"Muzaffarpur TPS,390 MW, Bihar, India",25.75,85.75,147.13,Domestic ,,35.31,,
"Nabinagar STPP,1980 MW",Bihar,Power,"Nabinagar STPP,1980 MW, Bihar, India",25.75,85.75,708.6,Domestic ,,170.06,,
"Nabinagar TPP,1000 MW",Bihar,Power,"Nabinagar TPP,1000 MW, Bihar, India",25.75,85.75,400.69,Domestic ,,96.17,,
"North Karanpura TPP,1320 MW",Jharkhand,Power,"North Karanpura TPP,1320 MW, Jharkhand, India",23.75,85.5,556.85,Domestic ,,133.64,,
"Raghunathpur TPP,1200 MW",West Bengal,Power,"Raghunathpur TPP,1200 MW, West Bengal, India",24,88,404.36,Domestic ,,97.05,,
"Sagardighi TPS,1600 MW",West Bengal,Power,"Sagardighi TPS,1600 MW, West Bengal, India",24,88,435.97,Domestic ,,104.63,,
"Santaldih TPS,500 MW",West Bengal,Power,"Santaldih TPS,500 MW, West Bengal, India",24,88,217.65,Domestic ,,52.24,,
"Southern Repl. TPS,135 MW",West Bengal,Power,"Southern Repl. TPS,135 MW, West Bengal, India",24,88,0,Domestic ,,0,,
"Talcher STPS,3000 MW",Odisha,Power,"Talcher STPS,3000 MW, Odisha, India",20.5,84.41667,1171.59,Domestic ,,281.18,,
"Tenughat TPS,420 MW",Jharkhand,Power,"Tenughat TPS,420 MW, Jharkhand, India",23.75,85.5,137.23,Domestic ,,32.94,,
"Titagarh TPS,240 MW",West Bengal,Power,"Titagarh TPS,240 MW, West Bengal, India",24,88,0,Domestic ,,0,,
"Vedanta TPP,600 MW",Odisha,Power,"Vedanta TPP,600 MW, Odisha, India",20.5,84.41667,43.75,Domestic ,,10.5,,
"Bongaigaon TPP,750 MW",Assam,Power,"Bongaigaon TPP,750 MW, Assam, India",26,93,249.51,Domestic ,,59.88,,
"MEENAKSHI ENERGY - VEDANTA POWER,300 MW",Andhra Pradesh,Power,"Thamminapatnam TPS,300 MW, Andhra Pradesh, India",14.21622939,80.08945027,0,Domestic ,1.10,,0,
"Simhapuri TPS,600 MW, Andhra Pradesh, India",Andhra Pradesh,Power,"Simhapuri TPS,600 MW, Andhra Pradesh, India",14.20656589,80.08777772,114.49,Import,0.38,,1.93,
"Damodaram Sanjeevaiah TPS,2400 MW, Andhra Pradesh, India",Andhra Pradesh,Power,"Damodaram Sanjeevaiah TPS,2400 MW, Andhra Pradesh, India",14.32817005,80.12051094,725.08,Domestic ,1.29,,20.72,
"Sembcorp Eenrgy India Ltd.1  TPP,1320 MW, Andhra Pradesh, India",ANDHRA PRADESH,Power,"Sembcorp Eenrgy India Ltd.1  TPP,1320 MW, Andhra Pradesh, India",14.34478432,80.1452835,494.16,Dom + Imp ,1.74,,25.76,
"Sembcorp Eenrgy India Ltd.2 TPP,1320 MW, Andhra Pradesh, India",ANDHRA PRADESH,Power,"Sembcorp Eenrgy India Ltd.2 TPP,1320 MW, Andhra Pradesh, India",14.34478432,80.1452835,494.16,Dom + Imp ,0.75,,25.76,
"Rayalaseema TPS,1650 MW, Andhra Pradesh, India",Andhra Pradesh,Power,"Rayalaseema TPS,1650 MW, Andhra Pradesh, India",14.71229025,78.46475101,648.64,Domestic ,3.00,,218.82,
"Dr. N. Tata Rao TPS,2560 MW, Andhra Pradesh, India",Andhra Pradesh,Power,"Dr. N. Tata Rao TPS,2560 MW, Andhra Pradesh, India",16.60036767,80.53736114,969.38,Domestic ,4.29,,333.2,
"Simhadri,2000 MW, Andhra Pradesh, India",Andhra Pradesh,Power,"Simhadri,2000 MW, Andhra Pradesh, India",17.59638721,83.08778313,846.71,Domestic ,3.49,,635.97,
"Raichur TPS,1720 MW, Karnataka, India",Karnataka,Power,"Raichur TPS,1720 MW, Karnataka, India",16.36057937,77.34040526,551.38,Domestic ,2.38,,468.17,
"Bellary TPS,1700 MW, Karnataka, India",Karnataka,Power,"Bellary TPS,1700 MW, Karnataka, India",15.192726,76.710916,423.18,Domestic ,2.36,,450.05,
"Torangallu TPS (SBU-II),600 MW, Karnataka, India",Karnataka,Power,"Torangallu TPS (SBU-II),600 MW, Karnataka, India",15.18447839,76.66268157,115.58,Import,1.28,,453.68,
"Yermarus TPP,1600 MW, Karnataka, India",Karnataka,Power,"Yermarus TPP,1600 MW, Karnataka, India",14.66667,75.83333,398.58,Domestic ,0.21,,464,
"NTPCKudgi STPP,2400 MW, Karnataka, India",Karnataka,Power,"Kudgi STPP,2400 MW, Karnataka, India",16.49699984,75.84281253,728.7,Domestic ,2.22,,650.82,
"Adani Power Limited Udupi TPP,1200 MW, Karnataka, India",Karnataka,Power,"Adani Power Limited Udupi TPP,1200 MW, Karnataka, India",13.163701,74.812379,272.11,Domestic ,0.04,,739.27,
"OPG Power Generation Private Limited,414 MW, Tamil Nadu, India",Tamil Nadu,Power,"OPG Power Generation Private Limited,414 MW, Tamil Nadu, India",13.44113937,80.10069546,141.24,Dom + Imp ,0.18,,115.43,
"North Chennai TPS,1830 MW, Tamil Nadu, India",Tamil Nadu,Power,"North Chennai TPS,1830 MW, Tamil Nadu, India",13.24711921,80.31943595,541.65,Domestic ,2.75,,159.28,
"NTPC Tamilnadu Energy Vallur TPP,1500 MW, Tamil Nadu, India",Tamil Nadu,Power,"Vallur TPP,1500 MW, Tamil Nadu, India",13.2362317,80.30611834,622.89,Domestic ,2.95,,161.72,
"ITPCL TPP,1200 MW, Andhra Pradesh, India",Tamil Nadu,Power,"ITPCL TPP,1200 MW, Andhra Pradesh, India",11.52275703,79.75236718,365.07,Domestic ,2.57,,367,
"Mettur TPS - II,600 MW, Tamil Nadu, India",Tamil Nadu,Power,"Mettur TPS - II,600 MW, Tamil Nadu, India",11.77695847,77.82176844,228,Domestic ,1.66,,451.97,
"Mettur TPS,840 MW, Tamil Nadu, India",Tamil Nadu,Power,Neyveli Lignite TPS-1 Expn. 420W,11.61593528,79.45853657,,Domestic ,0.87,,450.69,
Neyveli Lignite TPS-1 Expn. 420W,Tamil Nadu,Power,"Neyveli Lignite TPS-2,1470W",11.61593528,79.45853657,,Domestic ,0.23,,363.89,
"Neyveli Lignite TPS-2,1470W",Tamil Nadu,Power,Neyveli Lignite TPS-2 Expn.500W,11.61593528,79.45853657,,Domestic ,0.77,,363.89,
Neyveli Lignite TPS-2 Expn.500W,Tamil Nadu,Power,"Neyveli New TPS, NLC , 1000W",11.61593528,79.45853657,,Domestic ,0.14,,363.89,
"Neyveli New TPS, NLC , 1000W",Tamil Nadu,Power,"Mettur TPS,840 MW, Tamil Nadu, India",11.77117646,77.81376555,292.24,Domestic ,0.45,,363.89,
"Tuticorin TPP St-IV,525 MW, Tamil Nadu, India",Tamil Nadu,Power,"Tuticorin TPP St-IV,525 MW, Tamil Nadu, India",8.762745463,78.17708785,132.1,Import,0.06,,789.68,
"Tuticorin TPS,1050 MW, Tamil Nadu, India",Tamil Nadu,Power,"Tuticorin TPS,1050 MW, Tamil Nadu, India",8.762650031,78.17661579,560.81,Domestic ,1.94,,789.64,
"NTPL Tuticorin TPP,1000 MW, Tamil Nadu, India",Tamil Nadu,Power,"NTPL Tuticorin TPP,1000 MW, Tamil Nadu, India",8.758776855,78.18337205,345.68,Domestic ,2.00,,789.36,
"SITAPURAM TPS , 43W,Donda Padu, Telangana",Telangana,Power,"SITAPURAM TPS , 43W,Donda Padu, Telangana",16.83075648,80.04110542,,Domestic ,0.10,,353.29,
"Kothagudem TPS (Stage-7),800 MW, Telangana, India",Telangana,Power,"Kothagudem TPS (Stage-7),800 MW, Telangana, India",17.61050736,80.6986962,226.38,Domestic ,0.77,,467.02,
"Kothagudem TPS (New),1000 MW, Telangana, India",Telangana,Power,"Kothagudem TPS (New),1000 MW, Telangana, India",17.62216832,80.70114415,364.86,Domestic ,2.32,,468.24,
"Bhadradri TPP,1080 MW, Telangana, India",Telangana,Power,"Bhadradri TPP,1080 MW, Telangana, India",18.0215414,80.73767632,305.25,Domestic ,1.92,,525.81,
"Kakatiya TPS,1100 MW, Telangana, India",Telangana,Power,"Kakatiya TPS,1100 MW, Telangana, India",18.38357652,79.82601567,392.6,Domestic ,1.64,,564.11,
"Ramagundem STPS,2600 MW, Telangana, India",Telangana,Power,"Ramagundem STPS,2600 MW, Telangana, India",18.7510861,79.47339408,838.13,Domestic ,4.33,,635.29,
"Ramagundem-B TPS,62.5 MW, Telangana, India",Telangana,Power,"Ramagundem-B TPS,62.5 MW, Telangana, India",18.75513305,79.45614961,0,Domestic ,0.08,,636.03,
"Singareni TPP,1200 MW, Telangana, India",Telangana,Power,"Singareni TPP,1200 MW, Telangana, India",18.83553595,79.57372778,486.17,Domestic ,2.07,,654.53,
ULTRATECH READY MIX CONCRETE PLANT,Andhra Pradesh,RMC,,14.3593265,79.97502515,,,,0,34,
(SGRMC) Ganesh Ready Mix concrete,Andhra Pradesh,RMC,,14.36141178,79.94210581,,,,0,35,
Sri Vishnu Ready Mix Concrete,Andhra Pradesh,RMC,,14.45902476,80.02081647,,,,0,37,
Guru Raghavendra Infrastructures,Andhra Pradesh,RMC,,14.47278372,80.01902077,,,,0,38,
MK CONCRETE (READY MIX CONCRETE PLANT),Andhra Pradesh,RMC,,14.43335024,80.0840278,,,,0,44,
Sri CPR RMC,Andhra Pradesh,RMC,,13.58875613,80.02891022,,,,0,94,
UltraTech RMC Tirupati,Andhra Pradesh,RMC,,13.63542607,79.51524444,,,,0,110,
AMAZEH RMC(Ready Mix Concrete),Andhra Pradesh,RMC,"AK Enterprises, Chennai, Tamil Nadu, India",13.61496192,79.49452761,,,,0,113,
Tejas Arts,Andhra Pradesh,RMC,"AK Enterprises & Infra, Chennai, Tamil Nadu, India",13.33413996,80.19424857,,,,0,130,
Datchayani RMC,Tamil Nadu,RMC,"Alphacap Trade Platform Private Limited, Chennai, Tamil Nadu, India",13.28581854,80.23942661,,,,0,138,
Unik Enterprises,Tamil Nadu,RMC,,13.22165223,80.17247259,,,,0,140,
Metro Readymix Concrete,Tamil Nadu,RMC,"Beta Readymix Concrete, Chennai, Tamil Nadu, India",13.2078695,80.19578221,,,,0,143,
Beta Readymix Concrete,Tamil Nadu,RMC,,13.19100773,80.21073001,,,,0,144,
Sri Vinayaka Steel Corporation,Tamil Nadu,RMC,,13.19574668,79.09414648,,,,0,147,
CEMIX Concrete Company| Ready Mix Concrete Ramco,Tamil Nadu,RMC,"Brickbus Technologies Private Limited, Chennai, Tamil Nadu, India",13.14521422,80.23641404,,,,0,150,
Global Green Enterprises,Tamil Nadu,RMC,"Build And Grow, Chennai, Tamil Nadu, India",13.20646901,80.27853977,,,,0,151,
MARS RMC,Tamil Nadu,RMC,,13.23064274,80.15938404,,,,0,151,
Desire Readymix Concrete,Tamil Nadu,RMC,"Costa Agency, Chennai, Tamil Nadu, India",13.12892131,80.23244521,,,,0,152,
Jayadhitya Groups,Tamil Nadu,RMC,"Cubecrete AAC Products Private Limited, Chennai, Tamil Nadu, India",13.24167857,80.04627446,,,,0,154,
NSN Enterprises,Tamil Nadu,RMC,"Datchayani RMC, Chennai, Tamil Nadu, India",12.95726343,80.21180808,,,,0,192,
BISMILLAH READY MIX CONCRETE,Tamil Nadu,RMC,"Desire Readymix Concrete, Chennai, Tamil Nadu, India",13.18078837,80.25620139,,,,0,155,
Saravana Ready Mix Concrete,Tamil Nadu,RMC,"Esswar Mineral Industries, Chennai, Tamil Nadu, India",12.96938051,80.2138967,,,,0,179,
Aniruth Ready Mx concrete…,Tamil Nadu,RMC,"Global Green Enterprises, Chennai, Tamil Nadu, India",13.18272186,80.27863798,,,,0,156,
Micro Readymix Concrete,Tamil Nadu,RMC,,13.02825772,80.13637259,,,,0,169,
Realmix Construction,Tamil Nadu,RMC,"Indian Concrete Company, Chennai, Tamil Nadu, India",13.10211813,80.09563968,,,,0,159,
The Chennai Concrete,Tamil Nadu,RMC,"Iswarya Nandhini Enterprises, Chennai, Tamil Nadu, India",12.95283916,80.20356833,,,,0,192,
Shan Building Products Private Limited,Tamil Nadu,RMC,"Jayadhitya Groups, Chennai, Tamil Nadu, India",13.07782951,80.1711893,,,,0,160,
AK Enterprises,Tamil Nadu,RMC,"K & T Enterprises, Chennai, Tamil Nadu, India",13.07732547,80.17672061,,,,0,160,
Sakthivel Blue Metal,Tamil Nadu,RMC,"Landmark Concrete, Chennai, Tamil Nadu, India",12.97416294,80.12671008,,,,0,185,
UltraTech Cement ltd-RMC division,Tamil Nadu,RMC,"Maha Readymix Concrete, Chennai, Tamil Nadu, India",13.07754075,80.17340511,,,,0,164,
Sukra RMC,Tamil Nadu,RMC,,13.02806755,80.20211395,,,,0,165,
Maha Readymix Concrete,Tamil Nadu,RMC,"Mcube Readymix Private Limited, Chennai, Tamil Nadu, India",13.02509952,80.15705119,,,,0,168,
India Cements Ltd(Rmc division),Tamil Nadu,RMC,"Metro Readymix Concrete, Chennai, Tamil Nadu, India",13.05434356,80.17296292,,,,0,168,
Rdc concrete India Pvt Ltd,Tamil Nadu,RMC,"Micro Readymix Concrete, Chennai, Tamil Nadu, India",13.11774539,80.12812739,,,,0,168,
Premix Concrete Company,Tamil Nadu,RMC,"NSN Enterprises, Chennai, Tamil Nadu, India",13.40669825,79.98891904,,,,0,170,
Mcube Readymix Private Limited,Tamil Nadu,RMC,"P.S.Blue Metals (Firm), Chennai, Tamil Nadu, India",13.08083465,80.10968981,,,,0,170,
Iswarya Nandhini Enterprises,Tamil Nadu,RMC,"Pandian Traders, Chennai, Tamil Nadu, India",13.0414512,80.28761649,,,,0,170,
Aditya Concrete,Tamil Nadu,RMC,"Premix Concrete Company, Chennai, Tamil Nadu, India",13.0770563,80.23262371,,,,0,170,
Sun-X Concrete - Ready Mix Concrete,Tamil Nadu,RMC,"Prime Mix Concrete, Chennai, Tamil Nadu, India",13.06748856,80.12167103,,,,0,170,
Vetrivel Readymix,Tamil Nadu,RMC,,13.03614515,80.10651343,,,,0,172,
Indian Concrete Company,Tamil Nadu,RMC,,13.00399463,80.09449522,,,,0,174,
Prime Mix Concrete,Tamil Nadu,RMC,,13.00620646,80.09374786,,,,0,176,
RTI READYMIX CONCRETE,Tamil Nadu,RMC,"Realmix Construction, Chennai, Tamil Nadu, India",13.00919913,80.1266384,,,,0,176,
AMAZE CONCRETE PRODUCTS PVT LTD,Tamil Nadu,RMC,"Rithika Traders, Chennai, Tamil Nadu, India",13.02683161,80.25348992,,,,0,176,
Concrete OEM - Unit 1,Tamil Nadu,RMC,"S V Enterprises, Chennai, Tamil Nadu, India",13.02489695,80.16622993,,,,0,177,
P.S.Blue Metals (Firm),Tamil Nadu,RMC,"SA Enterprises, Chennai, Tamil Nadu, India",13.00778427,80.17367219,,,,0,184,
Ramco Cement - Dry Mix division,Tamil Nadu,RMC,"Sakthivel Blue Metal, Chennai, Tamil Nadu, India",13.03143298,80.13343,,,,0,193,
ULTRATECH RMC PLANTS,Tamil Nadu,RMC,"Sanveh Infra, Tiruvallur, Tamil Nadu, India",12.8781783,80.2498432,,,,0,205,
Boson Readymix Concrete,Tamil Nadu,RMC,"Saravana Ready Mix Concrete, Chennai, Tamil Nadu, India",12.84835065,80.21681694,,,,0,208,
LCC Readymix Concrete Pvt. Ltd.,Tamil Nadu,RMC,"Shan Building Products Private Limited, Chennai, Tamil Nadu, India",16.46855702,80.56452951,,,,0,293,
India Cements Ltd-5,Tamil Nadu,RMC,"Sri Srinivasa Blue Metals Supply, Chennai, Tamil Nadu, India",13.03057656,78.08670336,,,,0,372,
Rajampet-Gudur Road,Andhra Pradesh,Road Dev,,14.2,79.63663526,,,,0,45,76.35
Nellore-Podalakuru-Saidapuram Road,Andhra Pradesh,Road Dev,,14.42545951,79.95904398,,,,0,65,54.4
Kavali-Udayagiri-Seetharampuram,Andhra Pradesh,Road Dev,,14.87749921,79.33221535,,,,0,90,80
Kalavagunta-Nendragunta Road,Andhra Pradesh,Road Dev,,13.40811565,79.16908116,,,,0,110,27.4
Mydukuru-Taticherla Road,Andhra Pradesh,Road Dev,,15.03472038,78.9908599,,,,0,120,88.86
Ananthapur,Andhra Pradesh,Road Dev,,14.68372153,77.59987021,,,,0,125,44
Ananthapur & Kadapa,Andhra Pradesh,Road Dev,,14.5682651,77.97209756,,,,0,153,110
Chagalamarri-Proddatur-Yerraguntla Road,Andhra Pradesh,Road Dev,,14.675004,78.5447665,,,,0,160,122.16
Ananthapur,Andhra Pradesh,Road Dev,,14.65798151,77.58356238,,,,0,214,30
Guntur-Parchur Road,Andhra Pradesh,Road Dev,,16.13169934,80.32709181,,,,0,220,42
Narasaraopet-Sattenapalli Road,Andhra Pradesh,Road Dev,,16.3195855,80.09201852,,,,0,250,22.4
Ananthapur,Andhra Pradesh,Road Dev,,13.46822331,79.11690072,,,,0,252,17
Vodarevu-Narasaraopet-Piduguralla Road,Andhra Pradesh,Road Dev,,15.95106252,80.30616867,,,,0,280,81.429
Bhimavaram - Gudivada road,Andhra Pradesh,Road Dev,,16.54524316,81.51974493,,,,0,300.3,50.325
Rajahmundry - Maredumilli - Bhadrachalam Road,Andhra Pradesh,Road Dev,,17.22589729,81.84864172,,,,0,335.4,102
Vijayawada- Nuzvid Road,Andhra Pradesh,Road Dev,,16.44229263,80.88707679,,,,0,361,25
Eluru- Kaikaluru Road,Andhra Pradesh,Road Dev,,16.66145005,80.74898878,,,,0,374.5,46.25
"West Godavari & Krishna , Eluru- Kaikaluru Road",Andhra Pradesh,Road Dev,,16.62226496,81.15058111,,,,0,385,20.9
ECR from Kudimiyandithoppu near Chennai to Koonimedu,Tamil Nadu,Road Dev,,12.78878744,80.24280419,,,,0,300,113.2
"Chennai-Mamalapuram , Rajiv Gandhi Salai - IT corridor",Tamil Nadu,Road Dev,,12.85414096,80.22857487,,,,0,165,45
Chennai Ennore Port Road Connectivity Project,Tamil Nadu,Road Dev,,13.21149085,80.31622807,,,,0,180,30
Chennai Outer Ring Road (CORR) ,Tamil Nadu,Road Dev,,13.04791022,80.08461291,,,,0,165,60.15